#{"t_start": 1637651421.30201, "env_id": null}
r,l,t
0.96,16,13.89933
0.9575,17,13.949663
0.97,12,13.980922
0.965,14,14.024435
0.0,360,17.183941
0.8375,65,17.350047
0.81,76,17.576377
0.73,108,17.860906
0.82,72,18.048577
0.955,18,18.101604
0.9325,27,18.166348
0.0,360,19.110492
0.9525,19,19.16474
09913
0.9525,19,19.164786
